,id,example,positive,label
0,ss0,Had a really awkward time ordering a beer because nothing on the menu was stocked . ,0,other
1,ss1,I really enjoyed ( non - sarcastically ) having an overpriced drink here because it reminded me of New York . ,1,price
2,ss2,"We got here just before the peak lunch crowd on a Saturday morning , and still had to wait 30 minutes , which gave us enough time to find parking down the street . ",0,other
3,ss3,Hence the food is way too pricey for what 's offered ,1,price
4,ss4,I can not believe someone was not satisfied with the quality of the chicken at this location ! ,0,products
5,ss5,I love their location in LA and was hoping to get the great service I usually get when I shop over there . ,0,service
6,ss6,"Delicious food , friendly people , quick . ",0,service
7,ss7,Horrible service attitude . ,0,service
8,ss8,Great service at lunch . ,0,service
9,ss9,"Environment is very open , clean and comfortable . ",0,environment
10,ss10,Our server actually seemed annoyed that he had to talk with us ... Just another table and more faces ... More orders ... Move it along . ,0,service
11,ss11,She even stayed with me after closing to make sure I got everything I needed ,0,service
12,ss12,WAY OVER PRICED ! $ 39 for the dish pictured . ,1,price
13,ss13,"The decor looks a little old fashioned , but that actually adds to the feel and I like it . ",0,environment
14,ss14,"They do not accept reservations , but it is worth the wait . ",0,service
15,ss15,The product itself is a repellent combination of over intense flavours ,0,products
16,ss16,"For how much it cost , it could have been better . ",1,price
17,ss17,Parking can be a issue and they no longer have the dog pen . ,0,environment
18,ss18,"All you can say is yuuummmmmmmmyy , the line was n't bad given we were there around 3 pm ",0,service
19,ss19,The shoe was on special price so we got a good deal and bought the shoe as well ! ,1,price
20,ss20,Service is n't great either . ,0,service
21,ss21,This mall actually feels like one in Las Vegas . ,0,environment
22,ss22,"I love that for things you order regularly you can establish a standing order and get a 5 % discount ( milk , eggs , etc . ) . ",1,price
23,ss23,The servers were a bit confused ,0,service
24,ss24,It was a little last minute and they were extremely accommodating . ,0,service
25,ss25,Super quick food lines and attentive employees . ,0,service
26,ss26,"This place is a treasure , and the atmosphere is amazing as well . ",0,environment
27,ss27,"For the price I paid , I get more with a vist to another fast food competitor . ",1,price
28,ss28,Everything fresh and all full of flavor . ,0,products
29,ss29,The food quality is average and their service is slower than slow ,0,service
30,ss30,For under $ 7 you get a custom made sub sandwich . ,1,price
31,ss31,It was definitely not worth the money ,1,price
32,ss32,Very dark and stylish and clearly they were aiming for something of a cross between a club feel date night and just a nice evening out that you would like to bring someone special . ,0,environment
33,ss33,The only problem we really had was the ladies at the front office were sorta rude and looked annoyed at us . ,0,service
34,ss34,some of the items they sale here are a bit over priced but if you do n't mind paying a bit extra this is the place to go . ,1,price
35,ss35,slow but courteous . ,0,service
36,ss36,"The ambience , service , and food was pretty cool here . ",0,environment
37,ss37,"Unbelievable , it was me & my mother so it was a total of 100 $ i could have gone to red lobster and ate better quality of food . ",1,price
38,ss38,The meal was delicious   and reasonably priced . ,1,price
39,ss39,The guy told me if I buy a $ 5 sub then I get less vegetables than an $ 8 sub . ,1,price
40,ss40,They are open Friday - Sunday . ,0,service
41,ss41,"The only negatives are that the inside is really small , so seating is incredibly cramped and could not accommodate groups ",0,environment
42,ss42,And it 's terribly over priced for the quality . ,1,price
43,ss43,The dipping ramen was slightly too salty . ,0,products
44,ss44,"Well , massively disappointed with this place . Fries were cold , I mean 5 HOUR cold ! ! The burger ? Smashed together like they were trying to save space in bvb yge bag . ",0,products
45,ss45,50 $ for buffet and mind you i only ate crab legs ,1,price
46,ss46,Too many other places to shop with better prices . ,1,price
47,ss47,I bought a Living Social deal $ 30 for $ 60 awhile back . ,1,price
48,ss48,I sat outdoors and enjoyed the nice string lighting and music that was playing ,0,environment
49,ss49,They have some great offers going on now with even 70 % off on some items . ,1,price
50,ss50,Jimmy really cares about his customers and his craft . ,0,service
51,ss51,"My other dining companions seemed pleased with their food ( one ordered a veal marsala that I did not try and the other - my favorite - ordered off the menu , actually , a request they were kind enough to accommodate - it was gnocchi caprese with pesto sauce instead of tomato sauce , and it was gooeyyummydelicious ) ! ",0,service
52,ss52,"The food is awesome , fresh , delicious and the best part is , it 's still healthy . ",0,products
53,ss53,It took the one and only waitress at least 1 hour to serve our food . ,0,service
54,ss54,the interior is clean and has an almost perfect health rating ,0,environment
55,ss55,A little expensive but I 'll definitely be back time and time again ,1,price
56,ss56,And they let me apply the discount to both of our tickets . ,1,price
57,ss57,"The food was delicious , and the cake was to die for . ",0,products
58,ss58,"Great chicken , but go during a weekday lunch time to avoid the crowds ",0,products
59,ss59,No appointment on a Saturday afternoon and they managed to get me in and out in an hour . ,0,service
60,ss60,The seafood was not fresh . ,0,products
61,ss61,The food is pretty good ,0,environment
62,ss62,I did end up finding the perfect doll . ,0,products
63,ss63,Overpriced wanna be burger and brew place . ,1,price
64,ss64,The staff is always friendly and they make you feel comfortable even when you 're getting uncomfortable work done . ,0,service
65,ss65,Everything we tried so far was delicious ! ,0,products
66,ss66,Their service is typically slow and unfriendly ,0,service
67,ss67,Environment was lively and diverse . ,0,environment
68,ss68,Not worth the 40.00 for a basic cut . ,1,price
69,ss69,"I am not from the area , and parking is tough ",0,environment
70,ss70,The portion sizes here are gigantic .... we ordered based on our hunger level and should have ordered one plate to share . ,0,products
71,ss71,Unfortunately several times its been undercooked where literally another 90sec would ' ve made it awesome ,0,products
72,ss72,They need to chill on their prices . ,1,price
73,ss73,Customer service told me nothing was rescheduled ,0,service
74,ss74,First time here and this is a welcome addition to this part of town . ,0,other
75,ss75,Our host Reinhold is so nice and gracious . ,0,service
76,ss76,"The manager and staff were friendly , which is always a nice bonus . ",0,service
77,ss77,Prices are not bad and they have a good amount of seats ( and take reservations ) . ,1,price
78,ss78,I felt like I was at a fine dining establishment . ,0,service
79,ss79,Very reasonably priced and came right on budget . ,1,price
80,ss80,"The food is quite tasty , but the operation around is , let 's say "" challenged "" . ",0,service
81,ss81,She then decided that the only thing to do was be rude to me . ,0,service
82,ss82,$ 45 for three of us with large appetites . ,1,price
83,ss83,"Do not eat here , it is unsanitary . ",0,environment
